data,spx_pe,ibov_valuation_idx
2013-10-04,17.552087,
2013-10-07,17.402783,
2013-10-08,17.18817,
2013-10-09,17.198034,
2013-10-10,17.573476,
2013-10-11,17.683948,
2013-10-14,17.756005,
2013-10-15,17.630581,
2013-10-16,17.874369,
2013-10-17,17.994913,
2013-10-18,18.112757,
2013-10-21,18.114419,
2013-10-22,18.21835,
2013-10-23,18.132277,
2013-10-24,18.191354,
2013-10-25,18.271302,
2013-10-28,18.295598,
2013-10-29,18.397764,
2013-10-30,18.308058,
2013-10-31,18.237766,
2013-11-01,17.928962,
2013-11-04,17.992978,
2013-11-05,17.942497,
2013-11-06,18.019032,
2013-11-07,17.781491,
2013-11-08,18.020253,
2013-11-11,18.03328,
2013-11-12,17.990534,
2013-11-13,18.136174,
2013-11-14,18.223903,
2013-11-15,18.300845,
2013-11-18,18.233165,
2013-11-19,18.195915,
2013-11-20,18.129762,
2013-11-21,18.277131,
2013-11-22,18.367812,
2013-11-25,18.344607,
2013-11-26,18.347356,
2013-11-27,18.39295,
2013-11-29,18.378499,
2013-12-02,17.973054,
2013-12-03,17.915669,
2013-12-04,17.892316,
2013-12-05,17.814671,
2013-12-06,18.01487,
2013-12-09,18.047605,
2013-12-10,17.99022,
2013-12-11,17.786626,
2013-12-12,17.719561,
2013-12-13,17.717764,
2013-12-16,17.829741,
2013-12-17,17.774451,
2013-12-18,18.07036,
2013-12-19,18.05988,
2013-12-20,18.146906,
2013-12-23,18.243413,
2013-12-24,18.296606,
2013-12-26,18.383433,
2013-12-27,18.377246,
2013-12-30,18.373952,
2013-12-31,18.446706,
2014-01-02,18.243784,
2014-01-03,18.237709,
2014-01-06,18.191901,
2014-01-07,18.302539,
2014-01-08,18.298656,
2014-01-09,18.305029,
2014-01-10,18.347253,
2014-01-13,18.116514,
2014-01-14,18.312498,
2014-01-15,18.407104,
2014-01-16,18.382307,
2014-01-17,18.310705,
2014-01-21,18.361494,
2014-01-22,18.37205,
2014-01-23,18.20873,
2014-01-24,17.828614,
2014-01-27,17.741677,
2014-01-28,17.850622,
2014-01-29,17.668381,
2014-01-30,17.867452,
2014-01-31,17.751933,
2014-02-03,17.309275,
2014-02-04,17.441536,
2014-02-05,17.406161,
2014-02-06,17.62269,
2014-02-07,17.857105,
2014-02-10,17.885127,
2014-02-11,18.082974,
2014-02-12,18.078105,
2014-02-13,18.18314,
2014-02-14,18.270586,
2014-02-18,18.291752,
2014-02-19,18.172408,
2014-02-20,18.282014,
2014-02-21,18.246936,
2014-02-24,18.359821,
2014-02-25,18.335078,
2014-02-26,18.335476,
2014-02-27,18.426201,
2014-02-28,18.477476,
2014-03-03,18.301735,
2014-03-04,18.58116,
2014-03-05,18.580169,
2014-03-06,18.612097,
2014-03-07,18.622112,
2014-03-10,18.613486,
2014-03-11,18.518889,
2014-03-12,18.524541,
2014-03-13,18.307783,
2014-03-14,18.256123,
2014-03-17,18.431631,100.0
2014-03-18,18.5647,102.287335
2014-03-19,18.450868,103.211579
2014-03-20,18.56232,104.787446
2014-03-21,18.507883,105.015737
2014-03-24,18.417848,106.37218
2014-03-25,18.498959,106.786648
2014-03-26,18.36946,106.312337
2014-03-27,18.334557,110.038122
